hex_code,occurence,R,G,B,percent,Movement
#443D2B,22084,68,61,43,4.94,Magic-Realism
#355669,6092,53,86,105,1.36,Magic-Realism
#995C61,786,153,92,97,0.18,Magic-Realism
#305F31,268,48,95,49,0.06,Magic-Realism
#BFBA9D,244,191,186,157,0.05,Magic-Realism
#5A2805,120,90,40,5,0.03,Magic-Realism
#7A999E,119,122,153,158,0.03,Magic-Realism
#251B26,114,37,27,38,0.03,Magic-Realism
#B5EBDD,126890,181,235,221,46.25,Magic-Realism
#000005,45535,0,0,5,16.6,Magic-Realism
#006675,24246,0,102,117,8.84,Magic-Realism
#05A4A7,19811,5,164,167,7.22,Magic-Realism
#00052D,17559,0,5,45,6.4,Magic-Realism
#003B6E,13048,0,59,110,4.76,Magic-Realism
#DCC99F,9283,220,201,159,3.38,Magic-Realism
#7A967F,9214,122,150,127,3.36,Magic-Realism
#BF815C,8798,191,129,92,3.21,Magic-Realism
#1B1016,469352,27,16,22,50.33,Magic-Realism
#4F5344,169457,79,83,68,18.17,Magic-Realism
#383167,99932,56,49,103,10.72,Magic-Realism
#2878AB,64968,40,120,171,6.97,Magic-Realism
#F9FAF4,56367,249,250,244,6.04,Magic-Realism
#774A37,31906,119,74,55,3.42,Magic-Realism
#C5A337,16818,197,163,55,1.8,Magic-Realism
#A69E87,14696,166,158,135,1.58,Magic-Realism
#F7F2BB,8997,247,242,187,0.96,Magic-Realism
#5B7292,2841214,91,114,146,39.91,Magic-Realism
#0A0A0A,2435039,10,10,10,34.21,Magic-Realism
#615956,1210714,97,89,86,17.01,Magic-Realism
#0C1E66,260764,12,30,102,3.66,Magic-Realism
#79582B,190749,121,88,43,2.68,Magic-Realism
#D2BDA0,90648,210,189,160,1.27,Magic-Realism
#A4BCC8,45388,164,188,200,0.64,Magic-Realism
#1B3149,39690,27,49,73,0.56,Magic-Realism
#3E2C14,4274,62,44,20,0.06,Magic-Realism
#D0CBC8,71328,208,203,200,50.12,Magic-Realism
#5A585B,36293,90,88,91,25.5,Magic-Realism
#151314,21950,21,19,20,15.42,Magic-Realism
#8F684B,9682,143,104,75,6.8,Magic-Realism
#E8DAA9,1345,232,218,169,0.95,Magic-Realism
#8E91A2,765,142,145,162,0.54,Magic-Realism
#492E19,574,73,46,25,0.4,Magic-Realism
#B2A139,316,178,161,57,0.22,Magic-Realism
#D89E8A,49,216,158,138,0.03,Magic-Realism
#8B754E,186803,139,117,78,57.39,Magic-Realism
#25140D,128625,37,20,13,39.51,Magic-Realism
#573819,7806,87,56,25,2.4,Magic-Realism
#C5B593,1670,197,181,147,0.51,Magic-Realism
#AB661B,492,171,102,27,0.15,Magic-Realism
#82220C,113,130,34,12,0.03,Magic-Realism
#595A52,9,89,90,82,0.0,Magic-Realism
#1F160F,192248,31,22,15,67.17,Magic-Realism
#B58672,37901,181,134,114,13.24,Magic-Realism
#5C4245,22941,92,66,69,8.02,Magic-Realism
#A14530,12315,161,69,48,4.3,Magic-Realism
#FFFFFD,11751,255,255,253,4.11,Magic-Realism
#C3BABF,5952,195,186,191,2.08,Magic-Realism
#DDA423,1254,221,164,35,0.44,Magic-Realism
#522510,1163,82,37,16,0.41,Magic-Realism
#6A7090,697,106,112,144,0.24,Magic-Realism
#241D13,206462,36,29,19,50.04,Magic-Realism
#5C564A,120778,92,86,74,29.27,Magic-Realism
#9A9488,41164,154,148,136,9.98,Magic-Realism
#661D17,14972,102,29,23,3.63,Magic-Realism
#8D6E42,13416,141,110,66,3.25,Magic-Realism
#5F708C,4778,95,112,140,1.16,Magic-Realism
#C77440,4681,199,116,64,1.13,Magic-Realism
#DDD7CB,3512,221,215,203,0.85,Magic-Realism
#B48A24,2857,180,138,36,0.69,Magic-Realism
#000201,494125,0,2,1,43.12,Magic-Realism
#42958D,192894,66,149,141,16.83,Magic-Realism
#FEF8BA,114501,254,248,186,9.99,Magic-Realism
#006F2D,111085,0,111,45,9.69,Magic-Realism
#425247,94261,66,82,71,8.23,Magic-Realism
#AED6BC,51179,174,214,188,4.47,Magic-Realism
#161534,35651,22,21,52,3.11,Magic-Realism
#006BAC,26460,0,107,172,2.31,Magic-Realism
#B2C62F,25764,178,198,47,2.25,Magic-Realism
#000000,93032,0,0,0,46.23,Magic-Realism
#3B1F0A,49692,59,31,10,24.69,Magic-Realism
#775F45,46233,119,95,69,22.97,Magic-Realism
#B89E7D,3193,184,158,125,1.59,Magic-Realism
#590100,3167,89,1,0,1.57,Magic-Realism
#B67741,2663,182,119,65,1.32,Magic-Realism
#324029,1795,50,64,41,0.89,Magic-Realism
#98120F,1361,152,18,15,0.68,Magic-Realism
#697076,119,105,112,118,0.06,Magic-Realism
#26221F,165769,38,34,31,37.49,Magic-Realism
#6F3D26,88092,111,61,38,19.92,Magic-Realism
#CFB26C,75429,207,178,108,17.06,Magic-Realism
#E6D5CE,48201,230,213,206,10.9,Magic-Realism
#C68239,46811,198,130,57,10.59,Magic-Realism
#9E877F,15757,158,135,127,3.56,Magic-Realism
#A84E29,1097,168,78,41,0.25,Magic-Realism
#525132,916,82,81,50,0.21,Magic-Realism
#E3B03B,80,227,176,59,0.02,Magic-Realism
#180204,454799,24,2,4,40.28,Magic-Realism
#323C79,256214,50,60,121,22.69,Magic-Realism
#FEEDDB,138308,254,237,219,12.25,Magic-Realism
#5981B4,97921,89,129,180,8.67,Magic-Realism
#543A39,59747,84,58,57,5.29,Magic-Realism
