hex_code,occurence,R,G,B,percent,Movement
#EA9581,59,234,149,129,0.01,Early-Renaissance
#E1CEBD,378791,225,206,189,43.06,Early-Renaissance
#000100,273108,0,1,0,31.05,Early-Renaissance
#7A5F4C,219594,122,95,76,24.97,Early-Renaissance
#BD954F,5781,189,149,79,0.66,Early-Renaissance
#8691A3,1713,134,145,163,0.19,Early-Renaissance
#3C415E,444,60,65,94,0.05,Early-Renaissance
#773407,158,119,52,7,0.02,Early-Renaissance
#272E27,113645,39,46,39,63.01,Early-Renaissance
#E9E2D0,43643,233,226,208,24.2,Early-Renaissance
#344E73,8565,52,78,115,4.75,Early-Renaissance
#6B2229,8134,107,34,41,4.51,Early-Renaissance
#D9B674,5334,217,182,116,2.96,Early-Renaissance
#AA6637,1028,170,102,55,0.57,Early-Renaissance
#A8583D,2285042,168,88,61,70.71,Early-Renaissance
#EFD9CC,598066,239,217,204,18.51,Early-Renaissance
#232323,306041,35,35,35,9.47,Early-Renaissance
#757863,41798,117,120,99,1.29,Early-Renaissance
#6C93B2,639,108,147,178,0.02,Early-Renaissance
#180E19,376868,24,14,25,58.07,Early-Renaissance
#B8895F,125636,184,137,95,19.36,Early-Renaissance
#7B201F,116003,123,32,31,17.87,Early-Renaissance
#CC3228,12579,204,50,40,1.94,Early-Renaissance
#F2E0BC,11914,242,224,188,1.84,Early-Renaissance
#614A3A,5541,97,74,58,0.85,Early-Renaissance
#A19EA9,301,161,158,169,0.05,Early-Renaissance
#F3CC6D,154,243,204,109,0.02,Early-Renaissance
#527BB9,3,82,123,185,0.0,Early-Renaissance
#495851,856621,73,88,81,68.07,Early-Renaissance
#B8906C,225044,184,144,108,17.88,Early-Renaissance
#DEE2E3,151853,222,226,227,12.07,Early-Renaissance
#772F32,21121,119,47,50,1.68,Early-Renaissance
#090F1D,3846,9,15,29,0.31,Early-Renaissance
#988BA9,10,152,139,169,0.0,Early-Renaissance
#C6C1AD,4931428,198,193,173,62.36,Early-Renaissance
#746C57,2601810,116,108,87,32.9,Early-Renaissance
#2F2121,211816,47,33,33,2.68,Early-Renaissance
#AB8636,162024,171,134,54,2.05,Early-Renaissance
#7A3F1D,1287,122,63,29,0.02,Early-Renaissance
#FFFFFF,1046697,255,255,255,46.07,Early-Renaissance
#8CA7C5,353420,140,167,197,15.56,Early-Renaissance
#000000,274126,0,0,0,12.07,Early-Renaissance
#B20000,171369,178,0,0,7.54,Early-Renaissance
#FFDA9C,157916,255,218,156,6.95,Early-Renaissance
#E08858,92162,224,136,88,4.06,Early-Renaissance
#000040,87478,0,0,64,3.85,Early-Renaissance
#3D619D,44543,61,97,157,1.96,Early-Renaissance
#84786A,44247,132,120,106,1.95,Early-Renaissance
#1D1D1D,3392995,29,29,29,60.43,Early-Renaissance
#EADAA6,1053324,234,218,166,18.76,Early-Renaissance
#656565,424064,101,101,101,7.55,Early-Renaissance
#E1EEF6,306127,225,238,246,5.45,Early-Renaissance
#9D3131,218348,157,49,49,3.89,Early-Renaissance
